Store Name,Order #,Order Creation Date,Season Description,Order Status,PO #,Source System ID,Order Total,Requested Delivery Date,Actual Ship Date
BANNER'S  HALLMARK SHOP 61,3071105110,09/30/2025,EVERYDAY,OPEN,,LP.0930.1150,$0.00,10/09/2025,
BANNER'S  HALLMARK SHOP 61,3071016673,09/30/2025,,OPEN,,,$1.50,09/29/2025,
BANNER'S  HALLMARK SHOP 61,3070999613,09/29/2025,CHRISTMAS,SHIPPED,,CJ.929.KSPD5,"$1,312.00",10/08/2025,10/02/2025
BANNER'S  HALLMARK SHOP 61,3070999403,09/29/2025,,OPEN,OMNI-PEANUTS20-GFT,,$7.20,09/29/2025,
BANNER'S  HALLMARK SHOP 61,3070998266,09/29/2025,NEW YEAR'S DAY,SHIPPED,,1739085627,$37.80,11/21/2025,12/01/2025
BANNER'S  HALLMARK SHOP 61,3070998259,09/29/2025,BOSS'S DAY,SHIPPED,,1626092811,$44.00,10/06/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3070998247,09/29/2025,WINTER GRAD,SHIPPED,,1739158138,$43.10,11/21/2025,12/01/2025
BANNER'S  HALLMARK SHOP 61,3070998241,09/29/2025,HANUKKAH,SHIPPED,,1740630613,$207.80,11/21/2025,12/16/2025
BANNER'S  HALLMARK SHOP 61,3070998188,09/29/2025,CHRISTMAS THK YOU,SHIPPED,,1739645809,$72.80,11/21/2025,12/01/2025
BANNER'S  HALLMARK SHOP 61,3070998151,09/29/2025,THANKSGIVING,SHIPPED,,1626578525,$794.40,10/06/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3070998021,09/29/2025,CHRISTMAS,SHIPPED,,1739667854,"$12,718.10",11/21/2025,12/04/2025
BANNER'S  HALLMARK SHOP 61,3070998017,09/29/2025,SWEETEST DAY,SHIPPED,,1627727374,$77.30,10/06/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3070997974,09/29/2025,HLWN EID(RAMADN),SHIPPED,,1626300708,$669.00,10/06/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3070997819,09/29/2025,WINTER GRAD,SHIPPED,,3067797721,$47.70,11/21/2025,12/01/2025
BANNER'S  HALLMARK SHOP 61,3070997770,09/29/2025,JEWISH NEW YEAR,SHIPPED,,1625981574,$29.60,10/06/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3070997744,09/29/2025,HANUKKAH,SHIPPED,,1740578496,$21.60,11/21/2025,12/01/2025
BANNER'S  HALLMARK SHOP 61,3070997698,09/29/2025,NEW YEAR'S DAY,SHIPPED,,1740706972,$57.10,11/21/2025,12/01/2025
BANNER'S  HALLMARK SHOP 61,3070996265,09/29/2025,,OPEN,OMNI-BOPIS,,$59.14,09/29/2025,
BANNER'S  HALLMARK SHOP 61,3070995507,09/29/2025,,OPEN,R001892972,,$120.28,09/29/2025,
BANNER'S  HALLMARK SHOP 61,3070994752,09/29/2025,,OPEN,OMNI-SFS,,$13.85,09/29/2025,
BANNER'S  HALLMARK SHOP 61,3070796129,09/26/2025,EVERYDAY,SHIPPED,,LP.0926.1135,$0.00,10/07/2025,10/13/2025
BANNER'S  HALLMARK SHOP 61,3070794592,09/26/2025,CHRISTMAS,SHIPPED,,LP.0925.438,"$1,307.66",10/07/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3070793237,09/26/2025,EVERYDAY,SHIPPED,,1879319106,"$6,897.57",10/06/2025,10/03/2025
BANNER'S  HALLMARK SHOP 61,3070677920,09/24/2025,CHRISTMAS,SHIPPED,,LP.0924.0850,$332.18,10/03/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3070574812,09/24/2025,,OPEN,RTLR CUSTOMIZED MKTG,,$61.20,09/23/2025,
BANNER'S  HALLMARK SHOP 61,3070573675,09/23/2025,CHRISTMAS,SHIPPED,,LP.0923.350,$183.60,10/02/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3070571476,09/23/2025,CHRISTMAS,SHIPPED,,LP.0923.230,"$1,027.84",10/02/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3070568768,09/23/2025,VALENTINE,SHIPPED,,AAGC1016801,$418.96,12/18/2025,12/20/2025
BANNER'S  HALLMARK SHOP 61,3070502946,09/22/2025,,OPEN,DEBUT INVITE CRD - 5056131591,,$255.00,09/22/2025,
BANNER'S  HALLMARK SHOP 61,3070502945,09/22/2025,,OPEN,DEBUT INVITE CRD - 5055943440,,$255.00,09/22/2025,
BANNER'S  HALLMARK SHOP 61,3070502944,09/22/2025,,OPEN,DEBUT INVITE CRD - 5055877092,,$255.00,09/22/2025,
BANNER'S  HALLMARK SHOP 61,3070500195,09/22/2025,CHRISTMAS,SHIPPED,,CJ.922.KSPD4,"$4,105.00",10/01/2025,10/02/2025
BANNER'S  HALLMARK SHOP 61,3070430958,09/22/2025,,OPEN,R001891869,,$107.07,09/22/2025,
BANNER'S  HALLMARK SHOP 61,3070430039,09/22/2025,,OPEN,OMNI-SFS,,$22.29,09/22/2025,
BANNER'S  HALLMARK SHOP 61,3070307155,09/20/2025,,OPEN,MIX MATCH,,$14.23,09/19/2025,
BANNER'S  HALLMARK SHOP 61,3070220555,09/18/2025,,OPEN,09/2025 GC FEE,,$475.00,09/18/2025,
BANNER'S  HALLMARK SHOP 61,3070158130,09/17/2025,CHRISTMAS,SHIPPED,,LP.0917.330,"$9,778.94",09/26/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3070157119,09/17/2025,EVERYDAY,SHIPPED,,LP.0917.330,$138.60,09/26/2025,09/29/2025
BANNER'S  HALLMARK SHOP 61,3070154217,09/17/2025,CHRISTMAS,OPEN,,LP.0916.405,$0.00,09/26/2025,
BANNER'S  HALLMARK SHOP 61,3070154183,09/17/2025,HANUKKAH,OPEN,,LP.0916.405,$0.00,09/26/2025,
BANNER'S  HALLMARK SHOP 61,3070153920,09/17/2025,CHRISTMAS,SHIPPED,,CJ.916.KSPD3,"$2,661.70",09/26/2025,10/02/2025
BANNER'S  HALLMARK SHOP 61,3070065448,09/16/2025,EVERYDAY,OPEN,,LP.0916.0345,$0.00,09/25/2025,
BANNER'S  HALLMARK SHOP 61,3069997252,09/16/2025,,OPEN,RTLR CUSTOMIZED MKTG,,$255.00,09/15/2025,
BANNER'S  HALLMARK SHOP 61,3069938090,09/15/2025,,OPEN,OMNI-SFS,,$107.77,09/15/2025,
BANNER'S  HALLMARK SHOP 61,3069937403,09/15/2025,,OPEN,OMNI-BOPIS,,$17.59,09/15/2025,
BANNER'S  HALLMARK SHOP 61,3069936879,09/15/2025,,OPEN,R001890768,,$165.28,09/15/2025,
BANNER'S  HALLMARK SHOP 61,3069819323,09/13/2025,,OPEN,RTLR CUSTOMIZED MKTG,,$255.00,09/12/2025,
BANNER'S  HALLMARK SHOP 61,3069756884,09/12/2025,,OPEN,RTLR CUSTOMIZED MKTG,,$255.00,09/11/2025,
BANNER'S  HALLMARK SHOP 61,3069697927,09/11/2025,,OPEN,RTLR CUSTOMIZED MKTG,,$255.00,09/10/2025,
BANNER'S  HALLMARK SHOP 61,3069696449,09/10/2025,CHRISTMAS,SHIPPED,,LP.0910.155,"$1,404.92",09/19/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3069695692,09/10/2025,EVERYDAY,SHIPPED,,LP.0910.125,$169.00,09/19/2025,10/03/2025
BANNER'S  HALLMARK SHOP 61,3069693670,09/10/2025,,OPEN,BDAY CRD CREDIT - 5054993699,,$61.20,09/10/2025,
BANNER'S  HALLMARK SHOP 61,3069693667,09/10/2025,,OPEN,BDAY CRD CREDIT - 5054933339,,$61.20,09/10/2025,
BANNER'S  HALLMARK SHOP 61,3069693665,09/10/2025,,OPEN,BDAY CRD CREDIT - 5054839725,,$61.20,09/10/2025,
BANNER'S  HALLMARK SHOP 61,3069603532,09/09/2025,EVERYDAY,SHIPPED,,LP.0909.300,$0.00,09/18/2025,10/13/2025
BANNER'S  HALLMARK SHOP 61,3069602028,09/09/2025,HLWN EID(RAMADN),SHIPPED,,CJ.909.KSPD2,$64.00,09/18/2025,10/02/2025
BANNER'S  HALLMARK SHOP 61,3069600984,09/09/2025,CHRISTMAS,SHIPPED,,CJ.909.KSPD2,"$9,579.03",09/18/2025,10/08/2025
BANNER'S  HALLMARK SHOP 61,3069532910,09/08/2025,EVERYDAY,SHIPPED,,LP.0908.1200,$965.20,09/17/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3069530843,09/08/2025,CHRISTMAS,SHIPPED,,LP.0908.1200,"$6,136.64",09/17/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3069477698,09/08/2025,,OPEN,OMNI-BOPIS,,$0.79,09/08/2025,
BANNER'S  HALLMARK SHOP 61,3069476687,09/08/2025,,OPEN,R001889673,,$182.85,09/08/2025,
BANNER'S  HALLMARK SHOP 61,3069476662,09/08/2025,,OPEN,OMNI-SFS,,$70.84,09/08/2025,
BANNER'S  HALLMARK SHOP 61,3069356908,09/05/2025,CHRISTMAS,SHIPPED,TECHNO SP 5,LP.0904.430,"$2,100.00",09/16/2025,09/30/2025
BANNER'S  HALLMARK SHOP 61,3069298702,09/05/2025,,OPEN,,,$2.50,09/04/2025,
BANNER'S  HALLMARK SHOP 61,3069289076,09/04/2025,VALENTINE,SHIPPED,,AAGC851997,$276.31,12/18/2025,12/20/2025
BANNER'S  HALLMARK SHOP 61,3069287356,09/04/2025,EVERYDAY,SHIPPED,0006065825,GP Corrugate,$78.99,09/15/2025,09/29/2025
BANNER'S  HALLMARK SHOP 61,3069225559,09/03/2025,CHRISTMAS,SHIPPED,,LP.0903.354,"$2,070.04",09/12/2025,10/01/2025
BANNER'S  HALLMARK SHOP 61,3069218410,09/03/2025,CHRISTMAS,SHIPPED,,CJ.903.KSQ3B,$547.00,09/12/2025,10/03/2025
BANNER'S  HALLMARK SHOP 61,3069096934,09/02/2025,HANUKKAH,SHIPPED,,GP SP1,$70.00,09/11/2025,10/03/2025
